"Model";"Scenario";"Region";"Damage quantile";"SLR quantile";"SLR adaptation";"Target";"Discounting";"Variable";"Unit";"2005";"2010";"2015";"2020";"2025";"2030";"2035";"2040";"2045";"2050";"2055";"2060";"2070";"2080";"2090";"2100";"2110";"2130";"2150"
"REMIND";"experiment-2-2";"World";"5";"5";"with";"cba";"high";"Temperature|Global Mean";"°C (rel to pre-industrial)";0.929016;0.958197;1.0492;1.161276;1.268161;1.371234;1.486859;1.608072;1.729037;1.85391;1.966963;2.078361;2.302131;2.523411;2.738885;2.936318;3.114211;3.416069;3.693387
"REMIND";"experiment-2-1";"World";"5";"5";"with";"cba";"medium";"Temperature|Global Mean";"°C (rel to pre-industrial)";0.928808;0.958488;1.049501;1.16218;1.270233;1.377665;1.497445;1.616365;1.734004;1.854204;1.962288;2.064842;2.26258;2.449772;2.624541;2.780636;2.922199;3.177214;3.422151
"REMIND";"experiment-2-2";"World";"5";"5";"without";"cba";"high";"Temperature|Global Mean";"°C (rel to pre-industrial)";0.929016;0.958197;1.0492;1.161325;1.2685;1.370529;1.482336;1.597377;1.710375;1.823408;1.924465;2.023602;2.222616;2.41803;2.602104;2.765353;2.910099;3.163572;3.40456
"REMIND";"experiment-2-1";"World";"5";"5";"without";"cba";"medium";"Temperature|Global Mean";"°C (rel to pre-industrial)";0.928808;0.958488;1.049501;1.16229;1.269727;1.369761;1.478655;1.586677;1.694273;1.797165;1.884024;1.962803;2.10691;2.232956;2.341734;2.436445;2.513835;2.638121;2.760184
"REMIND";"experiment-2-2";"World";"50";"50";"with";"cba";"high";"Temperature|Global Mean";"°C (rel to pre-industrial)";0.929016;0.958197;1.0492;1.161647;1.272331;1.372954;1.479913;1.583261;1.677029;1.755226;1.812156;1.859732;1.937709;2.002199;2.052425;2.087341;2.108539;2.132264;2.15532
"REMIND";"experiment-2-1";"World";"50";"50";"with";"cba";"medium";"Temperature|Global Mean";"°C (rel to pre-industrial)";0.928808;0.958488;1.049501;1.162856;1.278014;1.378092;1.478694;1.568488;1.635448;1.687699;1.725099;1.757205;1.807099;1.839607;1.859037;1.871773;1.877956;1.865265;1.847987
"REMIND";"experiment-2-2";"World";"50";"50";"without";"cba";"high";"Temperature|Global Mean";"°C (rel to pre-industrial)";0.929016;0.958197;1.0492;1.161795;1.274486;1.375898;1.481938;1.579476;1.660011;1.722062;1.766712;1.805712;1.871193;1.921354;1.952552;1.969917;1.981765;1.986438;1.988785
"REMIND";"experiment-2-1";"World";"50";"50";"without";"cba";"medium";"Temperature|Global Mean";"°C (rel to pre-industrial)";0.928808;0.958488;1.049501;1.16327;1.284144;1.382847;1.475627;1.551809;1.606775;1.649783;1.679069;1.701747;1.732828;1.751646;1.761382;1.762797;1.755113;1.71324;1.666771
"REMIND";"experiment-2-2";"World";"95";"95";"with";"cba";"high";"Temperature|Global Mean";"°C (rel to pre-industrial)";0.929016;0.958197;1.0492;1.162038;1.278054;1.379422;1.481244;1.56839;1.634111;1.685612;1.724009;1.757813;1.811582;1.847582;1.868024;1.88039;1.88636;1.87393;1.855666
"REMIND";"experiment-2-1";"World";"95";"95";"with";"cba";"medium";"Temperature|Global Mean";"°C (rel to pre-industrial)";0.928808;0.958488;1.049501;1.16349;1.287742;1.387813;1.476067;1.54522;1.59332;1.630156;1.65361;1.672097;1.697793;1.711257;1.715311;1.710422;1.695056;1.632874;1.563082
