Model;Scenario;Region;Damage quantile;SLR quantile;SLR adaptation;Target;Discounting;Variable;Unit;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2070;2080;2090;2100;2110;2130;2150
REMIND;experiment-1-1;World;5;5;with;rcp60;medium;Temperature|Global Mean;°C (rel to pre-industrial);0.928443;0.95735;1.048043;1.15931;1.270453;1.385734;1.516601;1.652772;1.791442;1.93308;2.065392;2.195877;2.454692;2.70519;2.94426;3.166981;3.377728;3.749669;4.078885
REMIND;experiment-1-1;World;5;5;without;rcp60;medium;Temperature|Global Mean;°C (rel to pre-industrial);0.928523;0.957457;1.048184;1.159411;1.270532;1.385746;1.516479;1.652436;1.790958;1.932233;2.06421;2.194125;2.451368;2.700014;2.93693;3.157488;3.366055;3.733574;4.05799
REMIND;experiment-1-1;World;50;50;with;rcp60;medium;Temperature|Global Mean;°C (rel to pre-industrial);0.928351;0.957233;1.04782;1.159018;1.270086;1.38546;1.516277;1.652018;1.791103;1.932448;2.063506;2.192138;2.445965;2.691355;2.92454;3.140551;3.343967;3.699411;4.008655
REMIND;experiment-1-1;World;50;50;without;rcp60;medium;Temperature|Global Mean;°C (rel to pre-industrial);0.928565;0.957533;1.048213;1.159342;1.270421;1.385836;1.51668;1.652241;1.790646;1.931443;2.061894;2.18914;2.439568;2.681393;2.910589;3.122266;3.320618;3.666064;3.963935
REMIND;experiment-1-1;World;95;95;with;rcp60;medium;Temperature|Global Mean;°C (rel to pre-industrial);0.928337;0.957191;1.047731;1.158918;1.27008;1.385819;1.517077;1.653093;1.792261;1.932837;2.06273;2.190146;2.439339;2.680622;2.909231;3.119083;3.315036;3.654543;3.945447
REMIND;experiment-1-1;World;95;95;without;rcp60;medium;Temperature|Global Mean;°C (rel to pre-industrial);0.928637;0.957612;1.048292;1.159522;1.270827;1.386735;1.517821;1.653104;1.791604;1.931555;2.059827;2.184513;2.427886;2.662811;2.884268;3.086615;3.275031;3.599541;3.872054
REMIND;experiment-1-1;World;NA;NA;NA;rcp60;medium;Temperature|Global Mean;°C (rel to pre-industrial);0.928761;0.957865;1.048575;1.159816;1.269954;1.383524;1.514444;1.653933;1.79732;1.945261;2.083575;2.220546;2.49309;2.751577;2.993896;3.217581;3.429003;3.802113;4.132341
REMIND;experiment-1-1;R5.2ASIA;5;5;with;rcp60;medium;Consumption;billion US$2010/yr;3789.764088;4071.201719;7251.107435;11466.98614;15393.18344;18292.86743;21233.32488;23984.15576;26496.26486;29060.17641;31501.10182;34194.97541;37736.95657;44627.746;51382.26755;57637.09988;67704.63868;59403.12961;70777.62443
REMIND;experiment-1-1;R5.2ASIA;5;5;with;rcp60;medium;GDP|PPP;billion US$2010/yr;14311.13487;20597.21652;29861.29484;41627.79884;54287.05171;66694.35898;79287.80428;91629.99158;104202.8849;116398.446;128255.7572;139884.5372;164208.9447;189073.8214;211795.0154;237056.8479;237198.8619;241991.4384;224303.8565
REMIND;experiment-1-1;R5.2ASIA;5;5;without;rcp60;medium;Consumption;billion US$2010/yr;3789.766465;4071.341923;7248.12101;11445.27106;15283.936;18176.02933;21032.21991;23762.74416;26299.68398;28814.14249;31088.47091;33711.30546;36930.49452;43394.46823;49676.86247;54961.75709;64014.74004;55181.97552;64322.50905
